constructorStandingsId,raceId,constructorId,yearID,points,position,positionText,wins
1,18,1,2008,14,1,1,1
2,18,2,2008,8,3,3,0
3,18,3,2008,9,2,2,0
4,18,4,2008,5,4,4,0
5,18,5,2008,2,5,5,0
6,18,6,2008,1,6,6,0
7,19,1,2008,24,1,1,1
8,19,2,2008,19,2,2,0
9,19,3,2008,9,4,4,0
10,19,4,2008,6,5,5,0
11,19,5,2008,2,8,8,0
12,19,6,2008,11,3,3,1
13,19,7,2008,5,6,6,0
14,19,9,2008,2,7,7,0
15,19,11,2008,0,9,9,0
16,19,10,2008,0,10,10,0
17,19,8,2008,0,11,11,0
18,20,1,2008,28,3,3,1
19,20,2,2008,30,1,1,0
20,20,3,2008,10,4,4,0
21,20,4,2008,6,6,6,0
22,20,5,2008,2,8,8,0
23,20,6,2008,29,2,2,2
24,20,7,2008,8,5,5,0
25,20,9,2008,4,7,7,0
26,20,11,2008,0,9,9,0
27,20,10,2008,0,10,10,0
28,20,8,2008,0,11,11,0
29,21,1,2008,34,3,3,1
30,21,2,2008,35,2,2,0
31,21,3,2008,12,4,4,0
32,21,4,2008,6,7,7,0
33,21,5,2008,2,9,9,0
34,21,6,2008,47,1,1,3
35,21,7,2008,9,5,5,0
36,21,9,2008,8,6,6,0
37,21,11,2008,3,8,8,0
38,21,10,2008,0,10,10,0
39,21,8,2008,0,11,11,0
40,22,1,2008,42,3,3,1
41,22,2,2008,44,2,2,0
42,22,3,2008,13,4,4,0
43,22,4,2008,9,7,7,0
44,22,5,2008,2,9,9,0
45,22,6,2008,63,1,1,4
46,22,7,2008,9,6,6,0
47,22,9,2008,10,5,5,0
48,22,11,2008,3,8,8,0
49,22,10,2008,0,10,10,0
50,22,8,2008,0,11,11,0
51,23,1,2008,53,2,2,2
52,23,2,2008,52,3,3,0
53,23,3,2008,15,4,4,0
54,23,4,2008,9,7,7,0
55,23,5,2008,6,8,8,0
56,23,6,2008,69,1,1,4
57,23,7,2008,9,6,6,0
58,23,9,2008,15,5,5,0
59,23,11,2008,6,9,9,0
60,23,10,2008,0,10,10,0
61,23,8,2008,0,11,11,0
62,24,1,2008,53,3,3,2
63,24,2,2008,70,2,2,1
64,24,3,2008,15,6,6,0
65,24,4,2008,9,7,7,0
66,24,5,2008,7,9,9,0
67,24,6,2008,73,1,1,4
68,24,7,2008,17,5,5,0
69,24,9,2008,21,4,4,0
70,24,11,2008,8,8,8,0
71,24,10,2008,0,10,10,0
72,24,8,2008,0,11,11,0
73,25,1,2008,58,3,3,2
74,25,2,2008,74,2,2,1
75,25,3,2008,15,6,6,0
76,25,4,2008,12,7,7,0
77,25,5,2008,7,9,9,0
78,25,6,2008,91,1,1,5
79,25,7,2008,23,5,5,0
80,25,9,2008,24,4,4,0
81,25,11,2008,8,8,8,0
82,25,10,2008,0,10,10,0
83,25,8,2008,0,11,11,0
84,26,1,2008,72,3,3,3
85,26,2,2008,82,2,2,1
86,26,3,2008,16,6,6,0
87,26,4,2008,15,7,7,0
88,26,5,2008,7,9,9,0
89,26,6,2008,96,1,1,5
90,26,7,2008,25,4,4,0
91,26,9,2008,24,5,5,0
92,26,11,2008,14,8,8,0
93,26,10,2008,0,10,10,0
94,26,8,2008,0,11,11,0
95,27,1,2008,86,3,3,4
96,27,2,2008,89,2,2,1
97,27,3,2008,16,7,7,0
98,27,4,2008,23,6,6,0
99,27,5,2008,8,9,9,0
100,27,6,2008,105,1,1,5
101,27,7,2008,25,4,4,0
102,27,9,2008,24,5,5,0
103,27,11,2008,14,8,8,0
104,27,10,2008,0,10,10,0
105,27,8,2008,0,11,11,0
106,28,1,2008,100,2,2,5
107,28,2,2008,90,3,3,1
108,28,3,2008,16,7,7,0
109,28,4,2008,31,5,5,0
110,28,5,2008,8,9,9,0
111,28,6,2008,111,1,1,5
112,28,7,2008,35,4,4,0
113,28,9,2008,24,6,6,0
114,28,11,2008,14,8,8,0
115,28,10,2008,0,10,10,0
116,28,8,2008,0,11,11,0
117,29,1,2008,113,2,2,5
118,29,2,2008,96,3,3,1
119,29,3,2008,17,7,7,0
120,29,4,2008,31,5,5,0
121,29,5,2008,11,9,9,0
122,29,6,2008,121,1,1,6
123,29,7,2008,41,4,4,0
124,29,9,2008,24,6,6,0
125,29,11,2008,14,8,8,0
126,29,10,2008,0,10,10,0
127,29,8,2008,0,11,11,0
128,30,1,2008,119,2,2,5
129,30,2,2008,107,3,3,1
130,30,3,2008,17,7,7,0
131,30,4,2008,36,5,5,0
132,30,5,2008,17,8,8,0
133,30,6,2008,131,1,1,7
134,30,7,2008,41,4,4,0
135,30,9,2008,25,6,6,0
136,30,11,2008,14,9,9,0
137,30,10,2008,0,10,10,0
138,30,8,2008,0,11,11,0
139,31,1,2008,129,2,2,5
140,31,2,2008,117,3,3,1
141,31,3,2008,17,8,8,0
142,31,4,2008,41,5,5,0
143,31,5,2008,27,6,6,1
144,31,6,2008,134,1,1,7
145,31,7,2008,41,4,4,0
146,31,9,2008,26,7,7,0
147,31,11,2008,14,9,9,0
148,31,10,2008,0,10,10,0
149,31,8,2008,0,11,11,0
150,32,1,2008,135,1,1,5
151,32,2,2008,120,3,3,1
152,32,3,2008,26,8,8,0
153,32,4,2008,51,4,4,1
154,32,5,2008,31,6,6,1
155,32,6,2008,134,2,2,7
156,32,7,2008,46,5,5,0
157,32,9,2008,28,7,7,0
158,32,11,2008,14,9,9,0
159,32,10,2008,0,10,10,0
160,32,8,2008,0,11,11,0
161,33,1,2008,135,2,2,5
162,33,2,2008,128,3,3,1
163,33,3,2008,26,8,8,0
164,33,4,2008,66,4,4,2
165,33,5,2008,34,6,6,1
166,33,6,2008,142,1,1,7
167,33,7,2008,50,5,5,0
168,33,9,2008,29,7,7,0
169,33,11,2008,14,9,9,0
170,33,10,2008,0,10,10,0
171,33,8,2008,0,11,11,0
1643,34,8,2008,0,11,11,0
1642,34,10,2008,0,10,10,0
1641,34,11,2008,14,9,9,0
1640,34,9,2008,29,7,7,0
1639,34,7,2008,52,5,5,0
1638,34,6,2008,156,1,1,7
1637,34,5,2008,34,6,6,1
1636,34,4,2008,72,4,4,2
1635,34,3,2008,26,8,8,0
1634,34,2,2008,135,3,3,1
1633,34,1,2008,145,2,2,6
183,35,1,2008,151,2,2,6
184,35,2,2008,135,3,3,1
185,35,3,2008,26,8,8,0
186,35,4,2008,80,4,4,2
187,35,5,2008,39,6,6,1
188,35,6,2008,172,1,1,8
189,35,7,2008,56,5,5,0
190,35,9,2008,29,7,7,0
191,35,11,2008,14,9,9,0
192,35,10,2008,0,10,10,0
193,35,8,2008,0,11,11,0
25742,36,5,2007,0,9,9,0
25741,36,9,2007,0,8,8,0
25740,36,8,2007,0,7,7,0
25739,36,11,2007,0,6,6,0
25738,36,7,2007,1,5,5,0
25737,36,3,2007,2,4,4,0
25736,36,4,2007,4,3,3,0
25735,36,2,2007,5,2,2,0
25753,37,5,2007,0,9,9,0
25752,37,9,2007,0,6,6,0
25751,37,8,2007,0,8,8,0
25750,37,11,2007,0,7,7,0
25749,37,7,2007,3,4,4,0
25748,37,3,2007,2,5,5,0
25747,37,4,2007,8,3,3,0
25746,37,2,2007,10,2,2,0
25764,38,5,2007,0,9,9,0
25763,38,9,2007,0,6,6,0
25762,38,8,2007,0,8,8,0
25761,38,11,2007,0,7,7,0
25760,38,7,2007,5,4,4,0
25759,38,3,2007,2,5,5,0
25758,38,4,2007,9,3,3,0
25757,38,2,2007,18,2,2,0
25756,38,1,2007,44,11,E,1
25755,38,6,2007,39,1,1,2
25775,39,5,2007,0,10,10,0
25774,39,9,2007,4,6,6,0
25773,39,8,2007,1,7,7,0
25772,39,11,2007,0,8,8,0
25771,39,7,2007,5,5,5,0
25770,39,3,2007,5,4,4,0
25769,39,4,2007,11,3,3,0
25768,39,2,2007,23,2,2,0
25767,39,1,2007,58,11,E,1
25786,40,5,2007,0,8,8,0
25785,40,9,2007,4,6,6,0
25784,40,8,2007,1,7,7,0
25783,40,11,2007,0,9,9,0
25782,40,7,2007,5,5,5,0
25781,40,3,2007,7,4,4,0
25780,40,4,2007,16,3,3,0
25779,40,2,2007,30,2,2,0
25778,40,1,2007,76,11,E,2
25797,41,5,2007,0,8,8,0
25796,41,9,2007,4,6,6,0
25795,41,8,2007,4,7,7,0
