raceid,driverid,constructorid,grid
452,177,3,1
452,117,4,2
452,175,6,3
452,137,34,4
452,118,53,5
452,163,6,6
452,119,34,7
452,158,4,8
452,182,1,9
452,184,51,10
452,105,25,11
452,197,27,12
452,173,32,13
452,195,55,14
452,152,53,15
452,187,1,16
452,196,27,17
452,172,3,18
452,188,55,19
452,176,21,20
452,193,25,21
452,95,32,22
452,192,21,23
452,190,45,24
452,181,54,25
452,194,50,26
453,175,6,1
453,163,6,2
453,177,3,3
453,172,3,4
453,173,32,5
453,118,53,6
453,105,25,7
453,117,4,8
453,193,25,9
453,197,27,10
453,119,34,11
453,178,21,12
453,95,32,13
453,152,53,14
453,158,4,15
453,176,21,16
453,188,55,17
453,195,55,18
453,110,51,19
453,137,34,20
453,184,51,21
453,187,1,22
453,182,1,23
453,181,54,24
453,194,50,25
453,196,27,26
454,117,4,1
454,158,4,2
454,119,34,3
454,163,6,4
454,173,32,5
454,137,34,6
454,110,51,7
454,184,51,8
454,118,53,9
454,181,54,10
454,175,6,11
454,182,1,12
454,152,53,13
454,187,1,14
454,105,25,15
454,177,3,16
454,188,55,17
454,95,32,18
454,172,3,19
454,197,27,20
454,176,21,21
454,195,55,22
454,190,45,23
454,193,25,24
454,196,27,25
454,192,21,26
455,163,6,1
455,137,34,2
455,175,6,3
455,117,4,4
455,119,34,5
455,158,4,6
455,181,54,7
455,110,51,8
455,173,32,9
455,184,51,10
455,177,3,11
455,176,21,12
455,105,25,13
455,118,53,14
455,95,32,15
455,172,3,16
455,152,53,17
455,182,1,18
455,197,27,19
455,192,21,20
455,195,55,21
455,193,25,22
455,188,55,23
455,187,1,24
455,196,27,25
455,190,45,26
456,117,4,1
456,163,6,2
456,158,4,3
456,175,6,4
456,177,3,5
456,137,34,6
456,110,51,7
456,172,3,8
456,197,27,9
456,118,53,10
456,105,25,11
456,176,21,12
456,184,51,13
456,95,32,14
456,192,21,15
456,181,54,16
456,119,34,17
456,196,27,18
456,173,32,19
456,193,25,20
457,117,4,1
457,175,6,2
457,110,51,3
457,137,34,4
457,163,6,5
457,119,34,6
457,181,54,7
457,158,4,8
457,177,3,9
457,176,21,10
457,172,3,11
457,184,51,12
457,173,32,13
457,195,55,14
457,182,1,15
457,152,53,16
457,105,25,17
457,123,21,18
457,95,32,19
457,187,1,20
457,197,27,21
457,118,53,22
457,193,25,23
457,190,45,24
457,188,55,25
457,196,27,26
458,163,6,1
458,137,34,2
458,175,6,3
458,173,32,4
458,176,21,5
458,105,25,6
458,158,4,7
458,110,51,8
458,118,53,9
458,123,21,10
458,195,55,11
458,177,3,12
458,117,4,13
458,95,32,14
458,119,34,15
458,193,25,16
458,152,53,17
458,182,1,18
458,197,27,19
458,172,3,20
458,187,1,21
458,181,54,22
