raceId,year,round,circuitId,name,date,time,url
1,2009,1,1,Australian Grand Prix,39901,0,25,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2,2009,2,2,Malaysian Grand Prix,39908,0,375,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
3,2009,3,17,Chinese Grand Prix,39922,0,291666666666667,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
4,2009,4,3,Bahrain Grand Prix,39929,0,5,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
5,2009,5,4,Spanish Grand Prix,39943,0,5,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
6,2009,6,6,Monaco Grand Prix,39957,0,5,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
7,2009,7,5,Turkish Grand Prix,39971,0,5,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
8,2009,8,9,British Grand Prix,39985,0,5,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
9,2009,9,20,German Grand Prix,40006,0,5,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
10,2009,10,11,Hungarian Grand Prix,40020,0,5,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
11,2009,11,12,European Grand Prix,40048,0,5,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
12,2009,12,13,Belgian Grand Prix,40055,0,5,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
13,2009,13,14,Italian Grand Prix,40069,0,5,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
14,2009,14,15,Singapore Grand Prix,40083,0,5,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
15,2009,15,22,Japanese Grand Prix,40090,0,208333333333333,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
16,2009,16,18,Brazilian Grand Prix,40104,0,666666666666667,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
17,2009,17,24,Abu Dhabi Grand Prix,40118,0,458333333333333,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
18,2008,1,1,Australian Grand Prix,39523,0,1875,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
19,2008,2,2,Malaysian Grand Prix,39530,0,291666666666667,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
20,2008,3,3,Bahrain Grand Prix,39544,0,479166666666667,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
21,2008,4,4,Spanish Grand Prix,39565,0,5,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
22,2008,5,5,Turkish Grand Prix,39579,0,5,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
23,2008,6,6,Monaco Grand Prix,39593,0,5,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
24,2008,7,7,Canadian Grand Prix,39607,0,708333333333333,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
25,2008,8,8,French Grand Prix,39621,0,5,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
26,2008,9,9,British Grand Prix,39635,0,5,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
